CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
CUST_000001,Male,46,56,49
CUST_000002,Female,63,79,72
CUST_000003,Male,66,17,24
CUST_000004,Male,67,77,46
CUST_000005,Male,67,47,72
CUST_000006,Female,66,93,18
CUST_000007,Female,42,104,53
CUST_000008,Female,36,54,47
CUST_000009,Female,42,83,82
CUST_000010,Male,34,50,79
CUST_000011,Female,59,115,73
CUST_000012,Male,51,93,89
CUST_000013,Male,45,39,30
CUST_000014,Male,29,73,81
CUST_000015,Female,37,82,53
CUST_000016,Male,48,37,3
CUST_000017,Female,58,63,40
CUST_000018,Male,29,73,73
CUST_000019,Male,66,71,64
CUST_000020,Male,37,62,69
CUST_000021,Female,56,56,9
CUST_000022,Male,26,45,14
CUST_000023,Female,32,19,24
CUST_000024,Female,47,70,38
CUST_000025,Male,34,71,7
CUST_000026,Male,44,79,31
CUST_000027,Male,29,47,83
CUST_000028,Male,48,61,95
CUST_000029,Male,51,59,11
CUST_000030,Female,20,50,18
CUST_000031,Male,34,83,30
CUST_000032,Male,33,34,38
CUST_000033,Female,41,62,44
CUST_000034,Male,55,40,4
CUST_000035,Male,35,34,85
CUST_000036,Female,41,43,86
CUST_000037,Male,39,44,91
CUST_000038,Female,55,84,49
CUST_000039,Male,68,42,80
CUST_000040,Male,37,64,69
CUST_000041,Female,30,50,26
CUST_000042,Female,63,21,97
CUST_000043,Male,67,90,14
CUST_000044,Female,44,87,85
CUST_000045,Male,30,62,34
CUST_000046,Male,32,68,7
CUST_000047,Male,50,88,42
CUST_000048,Male,31,51,47
CUST_000049,Male,31,74,61
CUST_000050,Female,60,46,6
CUST_000051,Male,18,52,79
CUST_000052,Female,63,55,67
CUST_000053,Female,47,75,60
CUST_000054,Male,41,51,8
CUST_000055,Female,55,44,14
CUST_000056,Female,39,50,33
CUST_000057,Female,29,35,96
CUST_000058,Male,61,45,47
CUST_000059,Male,64,84,96
CUST_000060,Male,20,56,41
CUST_000061,Female,18,63,24
CUST_000062,Male,54,45,66
CUST_000063,Male,64,78,32
CUST_000064,Female,59,65,43
CUST_000065,Female,58,41,51
CUST_000066,Male,26,53,37
CUST_000067,Female,18,80,10
CUST_000068,Female,69,36,74
CUST_000069,Female,45,96,69
CUST_000070,Female,52,40,12
CUST_000071,Female,51,78,59
CUST_000072,Female,47,70,96
CUST_000073,Female,41,88,8
CUST_000074,Female,65,18,23
CUST_000075,Male,68,76,63
CUST_000076,Male,67,58,75
CUST_000077,Male,46,67,54
CUST_000078,Male,27,27,4
CUST_000079,Male,24,61,34
CUST_000080,Female,65,83,77
CUST_000081,Male,56,70,48
CUST_000082,Female,49,84,41
CUST_000083,Male,44,68,44
CUST_000084,Male,25,35,13
CUST_000085,Male,52,47,60
CUST_000086,Male,43,66,63
CUST_000087,Male,63,17,22
CUST_000088,Female,19,67,18
CUST_000089,Female,60,105,6
CUST_000090,Female,59,53,83
CUST_000091,Female,54,79,75
CUST_000092,Male,45,49,36
CUST_000093,Male,50,80,51
CUST_000094,Male,30,62,67
CUST_000095,Male,22,46,66
CUST_000096,Female,64,74,3
CUST_000097,Male,58,78,60
CUST_000098,Female,41,64,53
CUST_000099,Female,51,75,7
CUST_000100,Male,68,57,30
CUST_000101,Female,28,43,40
CUST_000102,Male,30,48,26
CUST_000103,Male,43,85,26
CUST_000104,Male,41,48,6
CUST_000105,Male,42,38,31
CUST_000106,Male,18,64,1
CUST_000107,Male,42,102,36
CUST_000108,Male,58,67,24
CUST_000109,Female,53,53,49
CUST_000110,Male,22,42,7
CUST_000111,Female,37,70,15
CUST_000112,Female,67,49,7
CUST_000113,Male,68,29,25
CUST_000114,Male,40,49,9
CUST_000115,Female,20,78,81
CUST_000116,Female,45,48,43
CUST_000117,Female,44,49,75
CUST_000118,Female,49,53,79
CUST_000119,Male,25,39,31
CUST_000120,Female,21,62,33
CUST_000121,Female,30,39,80
CUST_000122,Male,39,20,21
CUST_000123,Male,21,46,53
CUST_000124,Female,29,68,27
CUST_000125,Female,64,17,9
CUST_000126,Male,63,47,37
CUST_000127,Male,21,52,69
CUST_000128,Female,62,37,82
CUST_000129,Female,37,30,21
CUST_000130,Female,41,56,48
CUST_000131,Male,51,50,77
CUST_000132,Female,53,28,33
CUST_000133,Male,60,44,93
CUST_000134,Female,29,63,90
CUST_000135,Male,43,90,39
CUST_000136,Female,52,80,91
CUST_000137,Male,24,76,9
CUST_000138,Male,37,66,74
CUST_000139,Female,19,46,69
CUST_000140,Male,44,62,9
CUST_000141,Male,46,57,65
CUST_000142,Female,61,57,65
CUST_000143,Female,68,59,50
