CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
CUST_000497,Male,68,88.0,94
CUST_000230,Male,61,36.0,17
CUST_000419,Male,42,90.0,73
CUST_000411,Male,55,91.0,90
CUST_000045,Female,69,43.0,6
CUST_000392,Male,56,91.0,81
CUST_000086,Male,64,41.0,24
CUST_000358,Female,64,87.0,81
CUST_000042,Female,61,47.0,32
CUST_000339,Male,18,86.0,75
CUST_000442,Female,69,89.0,84
CUST_000117,Female,68,42.0,25
CUST_000033,Male,29,43.0,26
CUST_000132,Male,40,48.0,16
CUST_000125,Male,63,38.0,26
CUST_000148,Female,21,40.0,21
CUST_000092,Male,46,48.0,30
CUST_000241,Male,21,45.0,24
CUST_000142,Female,20,34.0,16
CUST_000294,Male,19,85.0,69
CUST_000290,Female,63,92.0,86
CUST_000020,Male,27,33.0,21
CUST_000348,Female,49,80.0,77
CUST_000031,Female,18,31.0,10
CUST_000331,Male,69,88.0,76
CUST_000335,Female,57,83.0,94
CUST_000395,Male,65,86.0,87
CUST_000464,Female,44,88.0,71
CUST_000146,Male,68,43.0,31
CUST_000434,Female,31,91.0,95
CUST_000311,Female,49,100.0,98
CUST_000316,Male,35,80.0,92
CUST_000384,Male,30,96.0,76
CUST_000044,Male,32,47.0,32
CUST_000459,Female,35,85.0,67
CUST_000206,Male,65,48.0,31
CUST_000272,Male,53,85.0,67
CUST_000313,Male,50,97.0,95
CUST_000083,Male,54,38.0,12
CUST_000399,Female,66,90.0,97
CUST_000066,Female,26,40.0,17
CUST_000026,Female,52,31.0,5
CUST_000019,Male,34,36.0,2
CUST_000151,Male,54,39.0,19
CUST_000429,Female,54,90.0,73
CUST_000280,Female,35,87.0,83
CUST_000490,Female,29,92.0,99
CUST_000203,Male,63,41.0,30
CUST_000197,Female,65,39.0,23
CUST_000166,Male,63,40.0,21
CUST_000013,Female,48,41.0,2
CUST_000119,Female,19,33.0,13
CUST_000361,Female,31,98.0,86
CUST_000435,Female,58,99.0,96
CUST_000262,Female,64,89.0,75
CUST_000345,Male,34,94.0,84
CUST_000319,Male,64,93.0,82
CUST_000112,Female,57,31.0,13
CUST_000278,Female,42,89.0,97
CUST_000297,Male,50,83.0,97
CUST_000047,Female,60,40.0,22
CUST_000291,Female,63,102.0,70
CUST_000420,Female,27,90.0,82
CUST_000466,Male,51,94.0,76
CUST_000406,Male,51,86.0,81
CUST_000003,Male,56,42.0,18
CUST_000060,Female,49,38.0,25
CUST_000169,Female,38,40.0,11
CUST_000211,Female,57,43.0,27
CUST_000113,Female,35,40.0,32
CUST_000164,Male,34,41.0,1
CUST_000462,Male,38,90.0,98
CUST_000212,Male,36,36.0,10
CUST_000016,Female,66,38.0,4
CUST_000123,Male,30,27.0,27
CUST_000004,Male,30,37.0,13
CUST_000440,Female,53,92.0,69
CUST_000036,Male,20,33.0,18
CUST_000309,Female,42,86.0,75
CUST_000428,Female,63,91.0,91
CUST_000281,Female,19,96.0,94
CUST_000264,Female,65,93.0,78
CUST_000468,Female,39,97.0,89
CUST_000492,Female,33,90.0,79
CUST_000138,Female,48,33.0,2
CUST_000330,Male,58,89.0,70
CUST_000471,Female,62,98.0,88
CUST_000274,Female,26,80.0,99
CUST_000485,Female,37,81.0,84
CUST_000231,Male,41,35.0,19
CUST_000455,Male,24,95.0,100
CUST_000068,Female,24,37.0,27
CUST_000391,Male,64,87.0,78
CUST_000235,Male,43,40.0,18
CUST_000314,Female,34,90.0,88
CUST_000064,Male,34,48.0,30
CUST_000446,Male,20,92.0,74
CUST_000131,Male,18,36.0,21
CUST_000265,Male,38,86.0,96
CUST_000371,Male,21,89.0,99
CUST_000077,Female,64,40.0,12
CUST_000453,Female,44,87.0,94
CUST_000172,Male,67,38.0,13
CUST_000322,Male,41,91.0,69
CUST_000006,Female,33,34.0,23
CUST_000108,Female,67,42.0,1
CUST_000481,Female,41,85.0,94
CUST_000224,Male,62,25.0,28
CUST_000170,Male,34,42.0,2
CUST_000252,Female,27,89.0,76
CUST_000450,Female,37,89.0,84
CUST_000141,Female,26,40.0,34
CUST_000303,Female,28,86.0,74
CUST_000257,Male,25,86.0,74
CUST_000147,Female,33,41.0,32
CUST_000234,Male,19,43.0,15
CUST_000221,Female,65,56.0,30
CUST_000178,Male,41,39.0,24
CUST_000305,Male,29,88.0,94
CUST_000394,Male,37,90.0,68
CUST_000050,Female,46,37.0,15
CUST_000156,Female,41,34.0,33
CUST_000059,Male,55,35.0,28
CUST_000493,Female,24,89.0,81
CUST_000167,Male,29,40.0,15
CUST_000398,Male,64,85.0,93
CUST_000327,Male,52,97.0,92
CUST_000456,Male,56,80.0,71
CUST_000365,Male,21,87.0,81
CUST_000479,Female,28,91.0,80
CUST_000250,Male,37,40.0,33
CUST_000220,Female,59,39.0,18
CUST_000130,Female,54,40.0,21
CUST_000094,Female,36,46.0,16
CUST_000353,Male,38,86.0,100
CUST_000496,Female,59,90.0,74
CUST_000144,Female,61,37.0,32
CUST_000161,Female,30,39.0,31
CUST_000298,Male,34,89.0,74
CUST_000445,Male,48,92.0,94
CUST_000437,Female,48,84.0,96
CUST_000173,Female,50,34.0,6
CUST_000452,Female,52,92.0,83
CUST_000240,Male,60,40.0,4
CUST_000332,Female,63,96.0,85
CUST_000449,Male,49,88.0,73
CUST_000499,Male,19,89.0,71
CUST_000070,Male,62,44.0,5
CUST_000243,Female,65,35.0,33
