CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
CUST_000001,Male,56,75,8
CUST_000002,Male,69,68,53
CUST_000003,Male,46,38,60
CUST_000004,Male,32,46,5
CUST_000005,Male,60,77,68
CUST_000006,Male,25,72,6
CUST_000007,Male,38,45,96
CUST_000008,Female,56,54,94
CUST_000009,Female,36,57,47
CUST_000010,Female,40,72,99
CUST_000011,Female,28,84,55
CUST_000012,Female,28,61,40
CUST_000013,Female,41,83,52
CUST_000014,Female,53,77,16
CUST_000015,Male,57,64,13
CUST_000016,Male,41,31,30
CUST_000017,Male,20,39,19
CUST_000018,Female,39,74,17
CUST_000019,Female,19,25,63
CUST_000020,Female,41,62,19
CUST_000021,Male,61,80,92
CUST_000022,Female,47,63,58
CUST_000023,Male,55,47,55
CUST_000024,Female,19,43,90
CUST_000025,Female,38,76,90
CUST_000026,Female,50,69,62
CUST_000027,Male,29,54,23
CUST_000028,Male,39,81,9
CUST_000029,Male,61,77,12
CUST_000030,Female,42,95,1
CUST_000031,Male,66,71,58
CUST_000032,Male,44,56,1
CUST_000033,Male,59,57,34
CUST_000034,Female,45,21,96
CUST_000035,Male,33,63,48
CUST_000036,Female,32,59,89
CUST_000037,Female,64,33,1
CUST_000038,Male,68,59,16
CUST_000039,Female,61,86,61
CUST_000040,Female,69,45,64
CUST_000041,Male,20,40,63
CUST_000042,Female,54,82,69
CUST_000043,Female,68,72,22
CUST_000044,Female,24,121,93
CUST_000045,Female,38,33,67
CUST_000046,Female,26,74,76
CUST_000047,Male,56,66,26
CUST_000048,Male,35,61,16
CUST_000049,Male,21,78,51
CUST_000050,Male,42,59,86
CUST_000051,Male,31,21,57
CUST_000052,Female,67,43,29
CUST_000053,Male,26,87,78
CUST_000054,Male,43,83,92
CUST_000055,Male,19,52,69
CUST_000056,Female,37,70,47
CUST_000057,Male,45,115,94
CUST_000058,Female,64,59,62
CUST_000059,Male,24,59,69
CUST_000060,Male,61,63,76
CUST_000061,Male,25,72,16
CUST_000062,Male,64,53,90
CUST_000063,Female,52,72,90
CUST_000064,Male,31,21,48
CUST_000065,Female,34,66,85
CUST_000066,Male,53,61,39
CUST_000067,Male,67,55,100
CUST_000068,Male,57,50,33
CUST_000069,Male,21,47,94
CUST_000070,Female,19,43,23
CUST_000071,Male,23,15,10
CUST_000072,Male,59,54,69
CUST_000073,Male,21,81,100
CUST_000074,Male,46,53,34
CUST_000075,Female,35,72,52
CUST_000076,Female,43,38,95
CUST_000077,Male,61,33,10
CUST_000078,Female,51,44,19
CUST_000079,Male,27,39,58
CUST_000080,Female,53,36,96
CUST_000081,Male,31,68,1
CUST_000082,Male,48,95,69
CUST_000083,Male,65,46,4
CUST_000084,Female,32,26,16
CUST_000085,Female,25,73,24
CUST_000086,Female,31,31,80
CUST_000087,Male,40,36,2
CUST_000088,Female,57,69,92
CUST_000089,Female,38,56,32
CUST_000090,Male,33,46,91
CUST_000091,Male,62,61,84
CUST_000092,Male,35,51,24
CUST_000093,Female,64,97,12
CUST_000094,Male,41,46,50
CUST_000095,Female,43,41,35
CUST_000096,Male,42,50,33
CUST_000097,Female,62,51,33
CUST_000098,Female,58,71,61
CUST_000099,Male,46,20,51
CUST_000100,Male,32,68,43
